,% who are economically inactive - aged 16-64,Jan 2004-Dec 2004,,,,Jan 2005-Dec 2005,,,,Jan 2006-Dec 2006,,,,Jan 2007-Dec 2007,,,,Jan 2008-Dec 2008,,,,Jan 2009-Dec 2009,,,,Jan 2010-Dec 2010,,,,Jan 2011-Dec 2011,,,,Jan 2012-Dec 2012,,,,Jan 2013-Dec 2013,,,,Jan 2014-Dec 2014,,,,Jan 2015-Dec 2015,,,,Jan 2016-Dec 2016,,,,Jan 2017-Dec 2017,,,,Jan 2018-Dec 2018,,,,Jan 2019-Dec 2019,,,
Code,Area,Economically Inactive,Working age,percent,confidence,Economically Inactive,Working age,percent,confidence,Economically Inactive,Working age,percent,confidence,Economically Inactive,Working age,percent,confidence,Economically Inactive,Working age,percent,confidence,Economically Inactive,Working age,percent,confidence,Economically Inactive,Working age,percent,confidence,Economically Inactive,Working age,percent,confidence,Economically Inactive,Working age,percent,confidence,Economically Inactive,Working age,percent,confidence,Economically Inactive,Working age,percent,confidence,Economically Inactive,Working age,percent,confidence,Economically Inactive,Working age,percent,confidence,Economically Inactive,Working age,percent,confidence,Economically Inactive,Working age,percent,confidence,Economically Inactive,Working age,percent,confidence
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E09000001,City of London,!,!,!,!,#,"3,600",35.6,*,!,!,!,!,!,"1,400",!,!,!,"1,200",!,!,!,!,!,-,!,#,!,!,!,!,!,!,!,!,!,!,!,#,!,!,!,#,!,!,"2,000","3,600",55.5,*,!,"2,700",!,!,"2,600","5,900",44.2,*,!,"3,200",!,!,!,!,!,!
E09000030,Tower Hamlets,"35,500","70,700",50.2,4.9,"37,300","71,700",52.0,5.3,"37,300","74,400",50.1,5.3,"38,900","77,400",50.2,5.6,"35,300","81,200",43.5,5.3,"36,800","85,200",43.1,5.6,"39,800","87,400",45.5,5.5,"38,800","89,400",43.4,5.2,"40,300","92,200",43.7,5.5,"36,400","95,900",37.9,5.4,"34,400","99,700",34.6,5.3,"34,200","101,900",33.6,5.6,"32,200","103,400",31.2,5.9,"46,000","106,000",43.4,6.1,"36,000","107,500",33.5,6.6,45300,110100,41.1,6.8
E09000031,Waltham Forest,"29,600","74,900",39.5,5.3,"28,500","75,500",37.8,5.3,"25,300","78,200",32.3,5.5,"29,500","80,300",36.7,5.7,"33,900","81,400",41.6,5.6,"31,300","83,800",37.4,5.7,"29,400","86,500",34.0,5.2,"29,300","88,500",33.1,5.2,"31,800","87,700",36.2,5.6,"28,800","87,900",32.8,5.5,"28,600","87,600",32.6,5.9,"26,500","91,100",29.0,6.2,"27,800","90,900",30.6,6.2,"22,800","88,300",25.8,5.5,"22,000","91,500",24.0,5.5,24300,93000,26.1,6.3
E09000032,Wandsworth,"30,300","106,100",28.6,4.5,"29,200","107,300",27.3,5.3,"32,600","110,400",29.5,5.5,"28,300","111,300",25.4,5.4,"27,000","113,100",23.9,5.1,"27,500","115,300",23.8,5.4,"31,600","113,900",27.7,5.4,"28,800","115,200",25.0,5.3,"32,000","118,900",26.9,5.2,"28,800","118,500",24.3,5.3,"26,200","119,000",22.0,5.0,"28,900","121,700",23.7,5.1,"29,100","122,100",23.9,5.5,"24,800","120,200",20.6,5.4,"25,300","123,000",20.6,5.2,22600,124400,18.2,5.2
E09000033,Westminster,"32,900","79,000",41.7,5.3,"31,100","81,100",38.3,5.2,"31,700","84,000",37.7,5.2,"35,600","82,900",42.9,4.9,"32,700","81,600",40.1,4.9,"29,500","79,100",37.3,5.5,"30,200","76,100",39.7,6.5,"32,400","78,700",41.1,5.5,"29,800","80,100",37.2,5.0,"28,700","75,900",37.9,5.0,"29,800","77,200",38.6,5.0,"25,800","78,000",33.1,5.3,"29,700","78,200",37.9,5.9,"29,700","76,600",38.7,6.0,"29,100","82,200",35.4,6.4,26200,82500,31.8,6.8
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E13000001,Inner London,"398,800","1,029,900",38.7,1.4,"404,400","1,052,600",38.4,1.5,"411,200","1,070,000",38.4,1.5,"392,200","1,088,400",36.0,1.4,"386,400","1,107,300",34.9,1.4,"378,600","1,130,400",33.5,1.5,"409,000","1,146,500",35.7,1.5,"406,600","1,170,400",34.7,1.5,"417,500","1,184,100",35.3,1.5,"387,500","1,194,800",32.4,1.4,"369,300","1,210,300",30.5,1.4,"354,500","1,228,300",28.9,1.4,"340,600","1,236,200",27.6,1.5,"359,100","1,242,200",28.9,1.6,"354,400","1,256,800",28.2,1.6,334600,1265900,26.4,1.6
E13000002,Outer London,"478,800","1,498,700",31.9,1.2,"483,500","1,520,000",31.8,1.2,"483,400","1,541,400",31.4,1.2,"515,300","1,562,100",33.0,1.2,"523,600","1,587,200",33.0,1.2,"517,300","1,612,400",32.1,1.3,"532,800","1,635,000",32.6,1.2,"526,200","1,659,800",31.7,1.2,"509,800","1,666,700",30.6,1.2,"507,800","1,678,600",30.2,1.2,"524,500","1,689,800",31.0,1.2,"500,100","1,704,100",29.3,1.2,"499,500","1,712,100",29.2,1.3,"472,800","1,711,100",27.6,1.3,"490,300","1,734,100",28.3,1.3,505000,1743000,29,1.4
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E12000001,North East,"278,900","823,200",33.9,0.9,"268,700","827,300",32.5,0.9,"266,700","831,400",32.1,1.1,"263,100","837,100",31.4,1.1,"260,700","840,700",31.0,1.1,"267,400","842,900",31.7,1.1,"270,200","845,100",32.0,1.1,"281,600","845,700",33.3,1.2,"268,700","840,600",32.0,1.1,"262,400","838,300",31.3,1.1,"244,500","836,700",29.2,1.1,"245,200","834,300",29.4,1.1,"246,700","834,900",29.5,1.2,"237,400","833,700",28.5,1.2,"238,200","831,000",28.7,1.2,235500,828800,28.4,1.2
E12000002,North West,"705,700","2,198,400",32.1,0.6,"701,500","2,216,200",31.7,0.7,"699,900","2,234,100",31.3,0.8,"703,600","2,248,200",31.3,0.8,"719,000","2,257,600",31.8,0.8,"712,800","2,263,500",31.5,0.8,"700,700","2,270,900",30.9,0.8,"703,200","2,276,600",30.9,0.8,"675,000","2,266,300",29.8,0.8,"684,300","2,259,200",30.3,0.8,"684,700","2,256,100",30.4,0.8,"671,900","2,260,800",29.7,0.8,"652,300","2,265,500",28.8,0.8,"645,600","2,269,600",28.4,0.8,"630,100","2,263,800",27.8,0.9,606400,2261700,26.8,0.9
